#addr	size	name	source	provenance
0x80045f60	164	INTR_DMA_OBJ_1CC	main	-
0x80046064	232	LoadTPage	main	-
0x80046214	180	SetDefDrawEnv	main	-
0x800462c8	60	SetDefDispEnv	main	-
0x80046304	64	SetDumpFnt	main	-
0x80046344	160	FntLoad	main	-
0x800463e4	696	FntOpen	main	-
0x8004669c	796	FntFlush	main	-
0x800469b8	960	FntPrint	main	-
0x80046d84	372	ResetGraph	main	-
0x80046ef8	92	SetGraphDebug	main	-
0x80046f54	164	SetGraphQueue	main	-
0x80047008	96	DrawSyncCallback	main	-
0x80047068	152	SetDispMask	main	-
0x80047100	104	DrawSync	main	-
0x80047168	284	init_GsImage_storage_	main	-
0x80047284	144	ClearImage	main	-
0x80047314	152	ClearImage2	main	-
0x8004746c	184	MoveImage	main	-
0x80047524	200	ClearOTag	main	-
0x800475ec	172	ClearOTagR	main	-
0x80047698	92	DrawPrim	main	-
0x800476f4	112	DrawOTag	main	-
0x80047764	192	PutDrawEnv	main	-
0x80047824	216	DrawOTagEnv	main	-
0x80047930	1272	PutDispEnv	main	-
0x80047e5c	48	GetODE	main	-
0x80047e8c	56	SetTexWindow	main	-
0x80047ec4	128	SetDrawArea	main	-
0x80047f44	64	SetDrawOffset	main	-
0x80047f84	40	SetPriority	main	-
0x80047fac	40	SetDrawStp	main	-
0x80047fd4	84	SetDrawMode	main	-
0x80048028	504	SetDrawEnv	main	-
0x80048220	624	FUN_8007f070	main	-
0x80048490	32	FUN_8007f2e0	main	-
0x800485fc	128	FUN_8007f44c	main	-
0x80048694	224	FUN_8007f4e4	main	-
0x80048774	560	FUN_8007f5c4	main	-
0x800489a4	572	load_image_data_into_registers_	main	-
0x80048be0	640	image_size_and_mem_to_gpu_	main	-
0x80048e60	36	FUN_8007fcb0	main	-
0x80048e98	64	FUN_8007fce8	main	-
0x80048ed8	72	FUN_8007fd28	main	-
0x80048f20	48	FUN_8007fd70	main	-
0x80048f50	36	FUN_8007fda0	main	-
0x80048f74	688	load_image_into_gpu_with_dma_	main	-
0x80049224	608	FUN_80080074	main	-
0x80049484	336	FUN_800802d4	main	-
0x800495d4	316	draw_sync_	main	-
0x80049710	52	FUN_80080560	main	-
0x80049744	324	FUN_80080594	main	-
0x80049888	160	FUN_800806d8	main	-
0x80049b00	324	MoveImage2	main	-
0x80049c44	252	DrawOTag2	main	-
0x80049d40	40	FUN_80080b90	main	-
0x80049d68	36	FUN_80080bb8	main	-
0x80049da4	60	GetTPage	main	-
0x80049e04	60	AddPrim	main	-
0x80049e64	40	SetSemiTrans	main	-
0x80049f14	52	DecDCTReset	demo	ghidra
0x80049f48	140	DecDCTGetEnv	demo	ghidra
0x80049fd4	152	DecDCTPutEnv	demo	ghidra
0x8004a078	124	DecDCTin	demo	ghidra
0x8004a114	60	DecDCTinSync	demo	ghidra
0x8004a150	60	DecDCToutSync	demo	ghidra
0x8004a924	172	DecDCTvlcBuild	demo	ghidra
0x8004a9d0	56	BUILD_OBJ_AC	demo	ghidra
0x8004aa14	44	MemCardInit	main	-
0x8004aa60	80	MemCardStart	main	-
0x8004aab0	64	MemCardStop	main	-
0x8004ab58	468	FUN_80080f28	main	-
0x8004ad94	564	FUN_80081164	main	-
0x8004afc8	392	MemCardOpen	main	-
0x8004b150	68	MemCardClose	main	-
0x8004b24c	316	FUN_8008161c	main	-
0x8004b440	316	FUN_80081810	main	-
0x8004b9bc	608	MemCardGetDirentry	main	-
0x8004bc30	284	MemCardSync	main	-
0x8004bd4c	520	MemCardCreateFile	main	-
0x8004bf54	444	MemCardDeleteFile	main	-
0x8004c110	140	MemCardFormat	main	-
0x8004c19c	180	MemCardUnformat	main	-
0x8004c250	84	FUN_80082620	main	-
0x8004c2a4	132	FUN_80082674	main	-
0x8004c328	92	FUN_800826f8	main	-
0x8004c404	208	firstfile	main	-
0x8004c4d4	144	FIRST_OBJ_D0	main	-
0x8004c5a0	192	FIRST_OBJ_19C	main	-
0x8004c660	64	FIRST_OBJ_25C	main	-
0x8004c6f4	52	_card_clear	main	-
0x8004c744	108	UserFuncOpen	main	-
0x8004c7c0	108	UserFuncExecute	main	-
0x8004c8e4	48	_card_open	main	-
0x8004c914	476	_card_start	main	-
0x8004cb10	180	_card_stop	main	-
0x8004cbc4	264	_clr_card_event	main	-
0x8004cf04	108	InitCARD	main	-
0x8004cf70	56	StartCARD	main	-
0x8004cfa8	40	StopCARD	main	-
0x8004d110	48	StartPAD	main	-
0x8004d140	56	StopPAD	main	-
0x8004d178	120	FUN_80083538	main	-
0x8004d1f0	56	FUN_800835b0	main	-
0x8004d228	104	FUN_800835e8	main	-
0x8004d290	64	FUN_80083650	main	-
0x8004d35c	112	_patch_pad	main	-
0x8004d3d4	104	_remove_ChgclrPAD	main	-
0x8004d4a0	68	FUN_80083860	main	-
0x8004d50c	148	_patch_card	main	-
0x8004d5a0	112	_patch_card2	main	-
0x8004d610	52	_copy_memcard_patch	main	-
0x8004d644	112	_ExitCard	main	-
0x8004d724	76	PadChkMtap	main	-
0x8004d770	192	PadGetState	main	-
0x8004d830	248	PadInfoMode	main	-
0x8004d928	212	PadInfoAct	main	-
0x8004d9fc	168	PadInfoComb	main	-
0x8004daa4	56	PadSetActAlign	main	-
0x8004dadc	72	PadSetMainMode	main	-
0x8004db24	72	PadSetAct	main	-
0x8004db74	280	PadEnableCom	main	-
